Profits,Assets
13643,198825
24074,620854
45687,321686
7840,330314
2258,56563
7017,122810
5317,94462
9427,221690
12976,403821
4596,237951
1427.9,33656
2371,83402
8831,365183
13127,244180
1427,34122
2350,33163
4173,72688
1975,36505
-497,260078
12313,3287968
24733,2490972
3404.4,51745
7957,42966
4895,89997
21938,1930115
17906,2187702
19478,167497
16798,193694
2469.8,65083
14912,1792077
8695,180500
11872,117470
350.3,256030
1555,51653
16540,141208
10508,127136
2289,46173
2737,37431
7815,2023376
3093,34408
-1672,118206
800,898764
2271,69146
6329,74129
1279,39769
3431,40377
10316,113327
4368,783962
-502.2,23770
5055,89706
1174,44413
9391,92033
614,25396
7215,171615
-849,498264
5302,47806
949.6,16722
1820,46064
3161,79679
10739,121652
2496,29010
4318,79511
2890,33758
6527,87270
1088.1,287196
562,20197
2676,51274
334.3,197790
3920,95377
1867,59360
4373,51261
1228,13856
4809,54146
-67,74704
1006,125592
5979,814949
1273.5,271040
7398,860165
995,79011
1492.3,523194
8901,112180
1768,22373
2263,40140
1877,108610
2025.7,17464
5408,158893
2298.2,12884
3760,21396
1134,114904
2955,32872
165.5,11277
13501,56977
424.2,17318
5050,32906
3926,65966
3522,149067
818,250441
10217,64961
3014,100245
3751,357033
2755,48365
1779.1,147290
126.5,5413
6967,36851
1523.9,57981
3632,120480
195.1,7932
506.5,11240
1659,61538
619,19851
5953,66099
4686.5,31024
2513,39964
2200,25614
-3615,89772
2211,30052
734,20398
522.8,14206
5705,52359
1031,33428
2152,132761
2513.1,52194
7722,77626
209.8,8945
5888,445964
2659,129819
-2221,9362
1251.1,11672
430.5,10060
-1721,21944
2817.7,14330
2737.6,38806
904,33345
-192,24701
1400,52666
896.2,15702
888,19153
2244,23286
1635,21743
-1497,8271
94,26103
342.9,8861
4233,55718
2553.7,45295
2448,109697
443.7,7574
4457,33707
14239,45932
281.4,9216
556,13574
975.1,9901
254.1,10323
896,223432
2021.8,45908
2166,14602
52,7449
1393,68598
178,4370
1394,15011
626,47017
96.1,13727
-477,18145
780,24140
521.7,20639
1697.4,21712
3903,366380
610.9,63468
-1128,33335
796.3,15224
2912,89993
68.3,3455
170.8,7622
-5763,27000
623.4,14482
-4154,37317
507,6341
3547,333469
676,7610
1148.6,23165
687.2,8859
879.9,18741
2441,12123
877,15769
1264,16511
2251,90207
1449.9,28092
5991,64035
354,7858
54.7,5951
-396.3,23038
69,11698
287.8,10582
1261,24238
-1130,36119
242.1,6153
-6177,43148
-677,13391
234.9,5223
424.4,6948
962,15358
1182,20859
2035,15201
529,5540
1336,19736
1553,14262
3595,16431
1192,261627
527.8,33838
244.9,8305
1768,18190
1229.6,18330
513.4,3688
654,76594
572,10780
708,80305
694,15111
242,32862
263.9,70339
1117.7,5309
1158.1,8170
1,9314
-147.9,16057
6073,51095
1438,22508
976,25586
-276,27540
1316.5,228014
-941,20038
-774,30355
1074.1,9739
-3302,25913
886.3,11559
841.5,6499
1245,48255
1311,51319
1132.7,6753
-198.9,5560
2123,71610
1314,139821
1492.5,43670
348,26211
420,40292
506.8,6730
-36,6908
2426,219276
701.4,53098
54.2,1497
3702.8,22877
1670,20469
965.3,15635
806.8,12057
1647,20435
1114.6,9223
1999.2,28086
3172,220177
1123.4,41155
1714,35414
931.4,61942
210.5,7360
911.8,15362
147.1,4462
130,45071
-583.6,45904
1401,33103
1721,14588
-428,214235
4059,18675
2135,19839
1235,20355
1241,8600
2143,242698
868,32041
710,11865
-260.5,9436
1500,19332
702.4,10318
2393,92308
-574,43109
-440,9160
1370,47786
4965,15546
605.9,5694
567.1,8234
1668,34892
-2738,19034
1067,163728
93.2,3639
108.8,2718
326,9189
732.1,14247
221.5,2089
459.6,8315
650,14463
631.1,18055
890.1,6370
-491,19155
1101.4,28173
3695,27899
612.6,20630
-400,16741
568,26031
824,143298
1878,204875
464,8303
118.5,8835
263,16173
324,4360
887,40070
854,15457
7266,23847
930.4,10231
352,16139
-373,29013
186.7,13587
325.6,22662
587.8,88561
281.8,15778
197.1,3844
163,17643
304.3,7411
353.2,4976
363,4342
1037.7,7204
57.8,3268
125.8,2852
179.6,17585
347,18096
-627,21031
-277,104658
2.9,6764
21,2484
179,15483
496,9599
-199.4,2564
549,11068
677,24888
-97,5653
-68.4,5390
563,7837
287.4,4058
1027,19243
356.6,38465
-4401,13028
-3071,45564
608.5,12485
688.7,15984
382.1,6424
664,3840
124.9,5560
56.8,1930
119.9,2606
305.9,26684
602.7,10178
601.9,23365
198.4,5354
-1096.7,29459
1889,223383
942.3,32053
120.5,4094
181.9,3894
565.4,29709
432,21829
324,11996
196,5707
1902,38315
645,10100
-424,46835
939,30123
720,5524
160.1,7168
396,6213
491,5137
101.6,4491
121.9,6319
-2412,21140
-664.2,6113
297.8,16841
515.8,25514
251,7736
573,6352
244,9132
741.9,18417
-674.9,22664
-11.9,5506
375,4583
361.7,6054
1666,9841
-495.9,4285
1564,142177
115,21208
318.2,7629
508.9,10116
469.7,5405
262.5,10903
9.3,437
437.1,2675
486.4,7389
706.3,21571
502,3727
92,19317
209,9135
-187.3,12871
746,19424
759,9487
1726.7,16099
966,17452
432.1,3829
1054.9,16965
270,7673
167.2,2336
649,55072
1194,15758
236,7653
187.8,3625
484.7,8709
847,9791
169.2,3888
-198.8,35793
551,21622
93.1,2099
144.3,2910
1619,5478
226,2726
822.9,8499
216.4,4514
-296.3,12862
-228.6,6546
456.9,23757
430.8,2791
320.7,4396
653,24699
539.4,6908
560,8463
734,12578
692.2,9890
1163,125968
1422,82003
814,9962
466.9,18592
914,12272
-7.8,4036
729.7,7101
1168.8,12707
-107.6,3419
-176.1,5007
425.3,2644
640,4860
213,7421
956.4,30879
449.6,5777
1045,149520
566,11988
648,4518
-64,5779
1315.1,123449
484.9,5782
364.7,10847
393,7741
2106,8669
455.7,25875
611,9819
414.4,11490
215.9,2575
343,8832
2488,11767
187.2,3521
-3.9,8763
229,10037
529.4,31594
-2,1660
930,9743
762,11408
84.7,2219
318,6494
411,22615
590.7,20386
1838.9,31104
253.2,9420
791,136453
-153.7,2985
294.1,3010
7,6060
241.2,43831
900,8357
-383.5,11770
312,4755
63.9,2164
-1405,22519
337.5,6135
120.8,2028
680,31377
728,7707
343.4,1778
15,2671
152.8,1608
378.2,2148
382.1,9737
-214.3,48083
-214.3,15167
57.2,2281
